nome,lista,link
ARE 1179455 AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83085&amp;data=10/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=1T&amp;sessao=O&amp;lista=176-2019>
Rcl 22718 AG.REG. NA RECLAMAÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83309&amp;data=10/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=1T&amp;sessao=O&amp;lista=191-2019>
ARE 1121615 EMB.DECL. NO AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84391&amp;data=10/12/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=1T&amp;sessao=O&amp;lista=212-2019>
Rcl 33373 AG.REG. NA RECLAMAÇÃO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81190&amp;data=10/12/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=1T&amp;sessao=O&amp;lista=250-2019>
,,
RE 1210551 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81029&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=141-2019>
ARE 1107296 AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81265&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=LISTA2>
,,
RE 997592 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82408&amp;data=10/12/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=1T&amp;sessao=O&amp;lista=LISTA1>
RE 1222451 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82765&amp;data=10/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=1T&amp;sessao=O&amp;lista=94-2019>
RE 854570 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83331&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.5-2019>
RE 1235357 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83332&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.6-2019>
ARE 1177873 EMB.DECL. NO SEGUNDO AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83333&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.7-2019>
ARE 1225461 AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83334&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.8-2019>
,,
ARE 1214406 EMB.DECL. NO AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83576&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.10-2019>
ACO 2560 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83577&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.11-2019>
AO 2008 AG.REG. NA AÇÃO ORIGINÁRIA,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83578&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.12-2019>
ACO 2453 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83579&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.13-2019>
RE 835224 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83580&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.14-2019>
RE 1221378 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84019&amp;data=10/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.15-2019>
