nome,lista,link
ADI 2823,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67881&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA6
ADI 4058,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67882&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA7
ADI 5961,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68759&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA30
ADI 4421,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68823&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA34
ADI 5109,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68319&amp;data=13/12/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 4133,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67301&amp;data=13/12/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA3
ADI 4019,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67280&amp;data=13/12/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 3995,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66839&amp;data=13/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 3659,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68912&amp;data=13/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 4633,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67783&amp;data=06/12/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5725,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67785&amp;data=06/12/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 5158,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68423&amp;data=06/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 3666,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68408&amp;data=06/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 4601,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66539&amp;data=25/10/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
